"District","Race","Name","Filing Date","Party Preference"
"SUPREME COURT JUSTICE","SUPREME COURT JUSTICE #4","AMY EDDY","7/10/2026 3:13:53 PM","NON"
"SUPREME COURT JUSTICE","SUPREME COURT JUSTICE #4","DAN WILSON","7/10/2026 3:15:59 PM","NON"
"JUDICIAL DISTRICT 1","DISTRICT COURT JUDGE DISTRICT 1, DEPT 3","DANIEL GUZYNSKI","7/10/2026 3:19:12 PM","NON"
"JUDICIAL DISTRICT 4","DISTRICT COURT JUDGE DISTRICT 4, DEPT 5","*SHANE A VANNATTA","7/10/2026 3:23:44 PM","NON"
"JUDICIAL DISTRICT 7","DISTRICT COURT JUDGE DISTRICT 7, DEPT 2","*SCOTT W HERRING","7/10/2026 3:29:25 PM","NON"
"JUDICIAL DISTRICT 7","DISTRICT COURT JUDGE DISTRICT 7, DEPT 2","BRETT IRIGOIN","7/10/2026 3:31:37 PM","NON"
"JUDICIAL DISTRICT 8","DISTRICT COURT JUDGE DISTRICT 8, DEPT 4","*JOHN W PARKER","7/10/2026 3:35:08 PM","NON"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 4","*BRETT LINNEWEBER","7/10/2026 3:37:57 PM","NON"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 5","*ROD SOUZA","7/10/2026 3:41:04 PM","NON"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 9","*SETH CUNNINGHAM","7/10/2026 3:43:40 PM","NON"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 10","*ED ZINK","7/10/2026 3:46:22 PM","NON"
"JUDICIAL DISTRICT 18","DISTRICT COURT JUDGE DISTRICT 18, DEPT 2","*RIENNE H MCELYEA","7/10/2026 3:49:04 PM","NON"
"JUDICIAL DISTRICT 20","DISTRICT COURT JUDGE DISTRICT 20, DEPT 1","*MOLLY OWEN","7/10/2026 4:37:46 PM","NON"
"JUDICIAL DISTRICT 20","DISTRICT COURT JUDGE DISTRICT 20, DEPT 2 UNEXPIRED","*JOHN A MERCER","7/10/2026 4:39:48 PM","NON"
"JUDICIAL DISTRICT 21","DISTRICT COURT JUDGE DISTRICT 21, DEPT 2","*JENNIFER LINT","7/10/2026 4:42:11 PM","NON"
"SENATE DISTRICT 22","STATE SENATOR DISTRICT 22","*DANIEL ZOLNIKOV","7/16/2026 2:59:42 PM","REP"
"SENATE DISTRICT 22","STATE SENATOR DISTRICT 22","ELIJAH TIDSWELL","8/10/2026 9:21:21 AM","NON"
"SENATE DISTRICT 22","STATE SENATOR DISTRICT 22","CARI LYNN OLSON","8/10/2026 9:23:22 AM","NON"
"SENATE DISTRICT 41","STATE SENATOR DISTRICT 41","ERIN FARRIS-OLSEN","7/16/2026 3:41:39 PM","DEM"
"SENATE DISTRICT 41","STATE SENATOR DISTRICT 41","DRU KOESTER","7/16/2026 3:43:11 PM","LIB"
"SENATE DISTRICT 48","STATE SENATOR DISTRICT 48","*ANDREA OLSEN","7/16/2026 3:51:34 PM","DEM"
"SENATE DISTRICT 50","STATE SENATOR DISTRICT 50","*SHANE A MORIGEAU","7/16/2026 3:56:34 PM","DEM"
"HOUSE DISTRICT 16","STATE REPRESENTATIVE DISTRICT 16","LONA R RUNNING WOLF","7/20/2026 3:48:01 PM","DEM"
"HOUSE DISTRICT 18","STATE REPRESENTATIVE DISTRICT 18","BRUCE ""BUTCH"" GILLESPIE","7/20/2026 3:53:52 PM","REP"
"HOUSE DISTRICT 27","STATE REPRESENTATIVE DISTRICT 27","JORDAN OPHUS","7/27/2026 10:33:16 AM","LIB"
